url,group,filename,date,fpath_out
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023241.h09v05.061.2023251220940/MOD11A2.A2023241.h09v05.061.2023251220940.hdf,rural,MOD11A2.A2023241.h09v05.061.2023251220940.hdf,2023-08-29,data/MODIS-LST/rural/MOD11A2.A2023241.h09v05.061.2023251220940.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023233.h09v05.061.2023242040454/MOD11A2.A2023233.h09v05.061.2023242040454.hdf,rural,MOD11A2.A2023233.h09v05.061.2023242040454.hdf,2023-08-21,data/MODIS-LST/rural/MOD11A2.A2023233.h09v05.061.2023242040454.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023225.h09v05.061.2023235043337/MOD11A2.A2023225.h09v05.061.2023235043337.hdf,rural,MOD11A2.A2023225.h09v05.061.2023235043337.hdf,2023-08-13,data/MODIS-LST/rural/MOD11A2.A2023225.h09v05.061.2023235043337.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023217.h09v05.061.2023226041049/MOD11A2.A2023217.h09v05.061.2023226041049.hdf,rural,MOD11A2.A2023217.h09v05.061.2023226041049.hdf,2023-08-05,data/MODIS-LST/rural/MOD11A2.A2023217.h09v05.061.2023226041049.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023209.h09v05.061.2023220022857/MOD11A2.A2023209.h09v05.061.2023220022857.hdf,rural,MOD11A2.A2023209.h09v05.061.2023220022857.hdf,2023-07-28,data/MODIS-LST/rural/MOD11A2.A2023209.h09v05.061.2023220022857.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023201.h09v05.061.2023215145934/MOD11A2.A2023201.h09v05.061.2023215145934.hdf,rural,MOD11A2.A2023201.h09v05.061.2023215145934.hdf,2023-07-20,data/MODIS-LST/rural/MOD11A2.A2023201.h09v05.061.2023215145934.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023193.h09v05.061.2023214104254/MOD11A2.A2023193.h09v05.061.2023214104254.hdf,rural,MOD11A2.A2023193.h09v05.061.2023214104254.hdf,2023-07-12,data/MODIS-LST/rural/MOD11A2.A2023193.h09v05.061.2023214104254.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023185.h09v05.061.2023201061553/MOD11A2.A2023185.h09v05.061.2023201061553.hdf,rural,MOD11A2.A2023185.h09v05.061.2023201061553.hdf,2023-07-04,data/MODIS-LST/rural/MOD11A2.A2023185.h09v05.061.2023201061553.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023177.h09v05.061.2023191223728/MOD11A2.A2023177.h09v05.061.2023191223728.hdf,rural,MOD11A2.A2023177.h09v05.061.2023191223728.hdf,2023-06-26,data/MODIS-LST/rural/MOD11A2.A2023177.h09v05.061.2023191223728.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023169.h09v05.061.2023178033518/MOD11A2.A2023169.h09v05.061.2023178033518.hdf,rural,MOD11A2.A2023169.h09v05.061.2023178033518.hdf,2023-06-18,data/MODIS-LST/rural/MOD11A2.A2023169.h09v05.061.2023178033518.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v05.061.2023170174847/MOD11A2.A2023161.h09v05.061.2023170174847.hdf,rural,MOD11A2.A2023161.h09v05.061.2023170174847.hdf,2023-06-10,data/MODIS-LST/rural/MOD11A2.A2023161.h09v05.061.2023170174847.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v05.061.2023164034529/MOD11A2.A2023153.h09v05.061.2023164034529.hdf,rural,MOD11A2.A2023153.h09v05.061.2023164034529.hdf,2023-06-02,data/MODIS-LST/rural/MOD11A2.A2023153.h09v05.061.2023164034529.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v05.061.2023154041457/MOD11A2.A2023145.h09v05.061.2023154041457.hdf,rural,MOD11A2.A2023145.h09v05.061.2023154041457.hdf,2023-05-25,data/MODIS-LST/rural/MOD11A2.A2023145.h09v05.061.2023154041457.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023241.h09v06.061.2023251215934/MOD11A2.A2023241.h09v06.061.2023251215934.hdf,urban,MOD11A2.A2023241.h09v06.061.2023251215934.hdf,2023-08-29,data/MODIS-LST/urban/MOD11A2.A2023241.h09v06.061.2023251215934.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023233.h09v06.061.2023242040015/MOD11A2.A2023233.h09v06.061.2023242040015.hdf,urban,MOD11A2.A2023233.h09v06.061.2023242040015.hdf,2023-08-21,data/MODIS-LST/urban/MOD11A2.A2023233.h09v06.061.2023242040015.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023225.h09v06.061.2023235042835/MOD11A2.A2023225.h09v06.061.2023235042835.hdf,urban,MOD11A2.A2023225.h09v06.061.2023235042835.hdf,2023-08-13,data/MODIS-LST/urban/MOD11A2.A2023225.h09v06.061.2023235042835.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023217.h09v06.061.2023226040517/MOD11A2.A2023217.h09v06.061.2023226040517.hdf,urban,MOD11A2.A2023217.h09v06.061.2023226040517.hdf,2023-08-05,data/MODIS-LST/urban/MOD11A2.A2023217.h09v06.061.2023226040517.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023209.h09v06.061.2023220022032/MOD11A2.A2023209.h09v06.061.2023220022032.hdf,urban,MOD11A2.A2023209.h09v06.061.2023220022032.hdf,2023-07-28,data/MODIS-LST/urban/MOD11A2.A2023209.h09v06.061.2023220022032.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023201.h09v06.061.2023215145515/MOD11A2.A2023201.h09v06.061.2023215145515.hdf,urban,MOD11A2.A2023201.h09v06.061.2023215145515.hdf,2023-07-20,data/MODIS-LST/urban/MOD11A2.A2023201.h09v06.061.2023215145515.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023193.h09v06.061.2023214104850/MOD11A2.A2023193.h09v06.061.2023214104850.hdf,urban,MOD11A2.A2023193.h09v06.061.2023214104850.hdf,2023-07-12,data/MODIS-LST/urban/MOD11A2.A2023193.h09v06.061.2023214104850.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023185.h09v06.061.2023201095900/MOD11A2.A2023185.h09v06.061.2023201095900.hdf,urban,MOD11A2.A2023185.h09v06.061.2023201095900.hdf,2023-07-04,data/MODIS-LST/urban/MOD11A2.A2023185.h09v06.061.2023201095900.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023177.h09v06.061.2023191223224/MOD11A2.A2023177.h09v06.061.2023191223224.hdf,urban,MOD11A2.A2023177.h09v06.061.2023191223224.hdf,2023-06-26,data/MODIS-LST/urban/MOD11A2.A2023177.h09v06.061.2023191223224.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023169.h09v06.061.2023178032028/MOD11A2.A2023169.h09v06.061.2023178032028.hdf,urban,MOD11A2.A2023169.h09v06.061.2023178032028.hdf,2023-06-18,data/MODIS-LST/urban/MOD11A2.A2023169.h09v06.061.2023178032028.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v06.061.2023170174522/MOD11A2.A2023161.h09v06.061.2023170174522.hdf,urban,MOD11A2.A2023161.h09v06.061.2023170174522.hdf,2023-06-10,data/MODIS-LST/urban/MOD11A2.A2023161.h09v06.061.2023170174522.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v06.061.2023164032102/MOD11A2.A2023153.h09v06.061.2023164032102.hdf,urban,MOD11A2.A2023153.h09v06.061.2023164032102.hdf,2023-06-02,data/MODIS-LST/urban/MOD11A2.A2023153.h09v06.061.2023164032102.hdf
https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v06.061.2023154043201/MOD11A2.A2023145.h09v06.061.2023154043201.hdf,urban,MOD11A2.A2023145.h09v06.061.2023154043201.hdf,2023-05-25,data/MODIS-LST/urban/MOD11A2.A2023145.h09v06.061.2023154043201.hdf
